text,emotion
Right now I am at peace a lot,peace
I think This is disgusting right now,disgust
This is frightening today,fear
Too much pressure a lot,stress
Things will get better these days,hope
I think I feel very happy today a lot,joy
I think This is boring today,boredom
I think This is my success right now,pride
That was unexpected right now,surprise
Thank you so much a lot,gratitude
Right now I love this right now,love
Right now This surprised me today,surprise
I lost my temper these days,anger
Nothing to do a lot,boredom
Honestly I feel relaxed these days,peace
Right now I adore this a lot,love
I think I feel lonely,sadness
I think Nothing special today these days,neutral
I feel exhausted today,stress
I think I lost my temper,anger
I think I feel very happy today,joy
Right now I feel irritated a lot,anger
That was unexpected,surprise
Today I feel joyful and excited right now,joy
Right now I cannot relax a lot,stress
Honestly I feel joyful and excited,joy
Right now I feel afraid today,fear
I think I care deeply today,love
Today Everything feels wrong today,sadness
Today I believe in future these days,hope
I think I care deeply today,love
Right now I am worried these days,fear
Life is beautiful right now,joy
Right now This surprised me today,surprise
I think I feel irritated,anger
Right now I feel okay these days,neutral
Honestly This is frightening today,fear
Right now I am at peace,peace
Right now This is frightening a lot,fear
I think I feel very happy today a lot,joy
Right now Everything is peaceful,peace
Honestly This is frightening these days,fear
I think I am optimistic these days,hope
Honestly This is disgusting,disgust
Right now I am annoyed today,anger
Right now This is disgusting today,disgust
Right now I feel like crying today,sadness
Right now I am amazed,surprise
Honestly Everything is dull,boredom
Honestly I feel serene,peace
I think I feel sleepy today,boredom
Honestly I adore this,love
Right now I feel repulsed a lot,disgust
Right now I worked hard today,pride
I think This is gross today,disgust
Today Thank you so much,gratitude
Right now This is gross,disgust
Right now Everything is dull a lot,boredom
Right now I love this these days,love
Honestly I feel irritated right now,anger
Today I worked hard these days,pride
I am grateful,gratitude
Today I feel fine these days,neutral
I lost my temper these days,anger
Honestly I achieved something these days,pride
Right now This is my success right now,pride
Today I feel very happy today these days,joy
I feel very happy today these days,joy
This is disgusting a lot,disgust
I think I feel accomplished these days,pride
Everything is average,neutral
Right now I feel nervous right now,fear
Everything is average these days,neutral
Today I feel loved today,love
Honestly I am shocked right now,surprise
Honestly I adore this today,love
Today This is gross right now,disgust
This surprised me a lot,surprise
Right now I feel like crying right now,sadness
Right now I feel exhausted today,stress
Thank you so much today,gratitude
Right now I feel lonely,sadness
Honestly Life is beautiful today,joy
Right now I feel serene right now,peace
Today Just a normal day today,neutral
Hope keeps me going a lot,hope
I think I feel relaxed these days,peace
Today I am scared a lot,fear
Right now I feel serene a lot,peace
I am overwhelmed today,stress
I feel sick right now,disgust
Right now I feel lonely today,sadness
I think I feel okay today,neutral
I think I feel affection,love
Honestly I am grateful right now,gratitude
Honestly I feel fine right now,neutral
I cannot relax these days,stress
Today This is my success a lot,pride
Today I am feeling low a lot,sadness
Thank you so much,gratitude
Honestly I feel very sad today,sadness
Honestly Thanks for everything today,gratitude
I think This is my success right now,pride
I think Nothing special today these days,neutral
I feel loved,love
Right now This is my success these days,pride
That smells bad today,disgust
I think I am amazed,surprise
I think I am amazed these days,surprise
Honestly I feel thankful today,gratitude
I feel very happy today today,joy
I feel nervous these days,fear
Honestly I am worried these days,fear
Thank you so much these days,gratitude
I appreciate this today,gratitude
Right now I worked hard these days,pride
I feel affection today,love
Right now This surprised me a lot,surprise
Right now I feel affection right now,love
Right now I feel lonely,sadness
Today This is frightening,fear
I think I feel irritated today,anger
Honestly I appreciate this these days,gratitude
I think I feel very happy today,joy
I think I feel calm today,peace
I feel repulsed right now,disgust
I feel accomplished a lot,pride
Today Life is beautiful these days,joy
Right now I am feeling great a lot,joy
That smells bad right now,disgust
Right now I feel thankful these days,gratitude
I think I feel stressed,stress
Today This is my success a lot,pride
Honestly That was unexpected,surprise
I adore this right now,love
Honestly I am amazed right now,surprise
I think I cannot relax right now,stress
Right now This is frightening right now,fear
Honestly I feel accomplished these days,pride
Right now I feel sleepy a lot,boredom
Today I feel fine,neutral
I think This is frightening today,fear
Honestly I feel exhausted,stress
Right now I am overwhelmed a lot,stress
Honestly I care deeply today,love
I think I feel exhausted these days,stress
Honestly That was unexpected these days,surprise
I feel joyful and excited today,joy
Right now Everything is average these days,neutral
I think I feel fine these days,neutral
I think I feel very sad these days,sadness
I think I feel loved a lot,love
I am amazed,surprise
I think I am shocked today,surprise
Honestly That smells bad these days,disgust
Today I feel loved today,love
Right now I am feeling great these days,joy
Today Thank you so much a lot,gratitude
I feel very sad,sadness
Right now That was unexpected,surprise
I think I am overwhelmed,stress
I feel irritated a lot,anger
This is disgusting today,disgust
Right now Nothing special today,neutral
Honestly Everything is peaceful a lot,peace
This surprised me these days,surprise
Right now I feel irritated a lot,anger
Honestly I feel very happy today today,joy
This makes me furious a lot,anger
Right now I feel like crying today,sadness
Honestly I feel calm a lot,peace
Today I feel okay right now,neutral
Today Nothing to do,boredom
Today Nothing to do a lot,boredom
Honestly Everything feels wrong a lot,sadness
I think I am overwhelmed a lot,stress
Right now Things will get better a lot,hope
Right now I am shocked today,surprise
Right now I am feeling great right now,joy
Today I care deeply,love
Today I feel irritated these days,anger
Today I am overwhelmed today,stress
Today Things will get better today,hope
I think This surprised me a lot,surprise
Honestly Everything is dull a lot,boredom
I think I feel relaxed right now,peace
I think I feel loved right now,love
I feel sleepy right now,boredom
I think I am overwhelmed these days,stress
Honestly I am shocked today,surprise
Today This is frightening these days,fear
Today That smells bad today,disgust
Honestly I am at peace,peace
I think This is gross,disgust
Honestly I feel irritated these days,anger
Honestly I feel afraid,fear
Honestly I feel very happy today right now,joy
Today This is boring these days,boredom
Today This is frightening these days,fear
Thanks for everything,gratitude
Today I care deeply these days,love
Honestly I am overwhelmed these days,stress
This is gross a lot,disgust
Right now I worked hard,pride
Today I feel calm a lot,peace
I feel thankful,gratitude
Honestly Thanks for everything these days,gratitude
Today I feel relaxed,peace
Honestly I am very angry,anger
Right now Nothing special today a lot,neutral
Honestly I feel exhausted today,stress
Right now I feel okay right now,neutral
This is gross right now,disgust
I am amazed these days,surprise
Right now I feel very sad,sadness
I think That smells bad right now,disgust
Life is beautiful a lot,joy
Today I feel accomplished these days,pride
Today I feel exhausted right now,stress
I think I am shocked today,surprise
I think Everything is average these days,neutral
Honestly I didn’t expect this right now,surprise
Today I am grateful these days,gratitude
Today I worked hard these days,pride
I think Nothing special today a lot,neutral
Right now This is my success today,pride
Honestly I feel repulsed today,disgust
Honestly I feel very sad a lot,sadness
That smells bad,disgust
I think Too much pressure these days,stress
Honestly This is a wonderful day a lot,joy
Honestly That smells bad today,disgust
Right now I feel calm a lot,peace
Right now This is a wonderful day a lot,joy
Right now I feel accomplished,pride
Today I feel sick these days,disgust
I think I feel repulsed a lot,disgust
Right now Too much pressure a lot,stress
Honestly I feel affection,love
Right now I am optimistic these days,hope
Right now I am very angry right now,anger
I think This is a wonderful day a lot,joy
Today I feel very sad these days,sadness
I think I am overwhelmed right now,stress
Honestly I feel very happy today a lot,joy
Right now I am grateful right now,gratitude
I feel bored right now,boredom
Honestly I feel fine today,neutral
Honestly I am overwhelmed right now,stress
I think This makes me furious these days,anger
Honestly I feel thankful right now,gratitude
Today I am worried today,fear
I feel very sad today,sadness
Today I adore this right now,love
Today Thanks for everything today,gratitude
I think This is gross these days,disgust
I think This is gross,disgust
Today I feel repulsed a lot,disgust
Right now I feel stressed right now,stress
Today I am amazed today,surprise
Nothing special today,neutral
This surprised me today,surprise
I think This is disgusting right now,disgust
I think Nothing special today a lot,neutral
I think I lost my temper,anger
I think I feel fine these days,neutral
Thank you so much a lot,gratitude
Right now Everything is peaceful right now,peace
I appreciate this,gratitude
Right now I worked hard,pride
Today Everything is dull right now,boredom
Right now This is frightening a lot,fear
I feel joyful and excited right now,joy
I feel sick right now,disgust
Right now I feel serene today,peace
Honestly I feel very happy today,joy
I appreciate this these days,gratitude
